IndexCustom,Article,Event,Bias,FineGrain_Techniques,FineGrain_Spans,Narrative
78F,"(If you feel suicidal or know someone in distress, please reach out to them with kindness and call thesenumbersof local emergency services, helplines, and mental health NGOs.) The image of a man, in a blue turban, lying lifeless on a road is being shared with a claim that the person was a farmer who died while protesting against the three farm laws introduced by the Centre. However, we found that while the man was indeed a farmer, his death was not part of the ongoing protests along Delhi’s borders. He was a senior leader of the Bharti Kisan Union (Ugrahan), and he died protesting over the closure of Shri Guru Nanak Dev Thermal Plant in Bathinda, Punjab in July 2020. CLAIM One of the captions that was shared with the video when translated from Punjabi read, “Tribute to Baba Ji who was martyred in Delhi protests today.” The image was posted on 8 January 2021 on a page calledEkta Kranti. Similar posts were shared by many social media users on Facebook and Twitter, who tried to link the photo of the dead farmer with the ongoing farmers’ protest. WHAT WE FOUND OUT When we conducted a reverse image search of the viral photo, we found several social media posts from July 2020 that had the same image. One such post was made by a politician from Punjab called, Sarvjit Kaur Manuke, on her Facebook page. Her post contained six images and the caption read, “A senior leader of the Farmer Union died protesting over the closure of Shri Guru Nanak Dev Thermal Plant, Bathinda.” The report stated that the 55-year-old farmer was found dead shortly after he sat on a dharna outside the shut Guru Nanak Dev Thermal Plant at Bathinda. “He was carrying a flag of Bharti Kisan Union (Ugrahan) and a placard, on which it was mentioned that he is sacrificing his life to protest against the decision of selling the land of the thermal plant,” the report said. We found another report inPunjab Kesarithat was titled, “We found that the person died protesting over the closure of Shri Guru Nanak Dev Thermal Plant in Bathinda.” The report, that was published on 1 July 2020, carried one of the images shared by Manuke in her Facebook post about the farmer’s death. The report said that the exact cause of death was yet to be determined. Evidently, an image from July 2020 was shared with a false claim that it showed the death of a farmer in the ongoing farmers’ protest against the three farm laws. (Not convinced of a post or information you came across online and want it verified? Send us the details on WhatsApp at 9643651818, or e-mail it to us atwebqoof@thequint.comand we'll fact-check it for you. You can also read all our fact-checked storieshere.)  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
150F,"(This article was first published on 7 December 2020. It has been republished fromThe Quint'sarchives over the SC's remarks on women at farmers' protest.) Thousands of farmers from Punjab, Haryana and other parts of India are camping at the borders of Delhi toprotest the new farm lawspassed in September. Among these farmers are also women who have walked miles from home to be part of this agitation.The Quintspoke to these women farmers to understand their struggles and demands. Harinder Kaur has come all the way from Amritsar with her son to participate in the protests. She toldThe Quintthat contrary to popular perception, women play a very crucial role in the agricultural sector. “I agree men are central to farming. They plough the fields, drive the tractors, water the fields at night among many other things. But a woman has bigger role to play here,” she said. Gurmeet, also a farmer from Amritsar in Punjab, says that it is an extremely unpleasant experience for women to be out on the streets. However, this fight is such that they had to come. When asked about the use of force by the cops on farmers on their way to the national capital, Hardeep from Sangrur in Punjab said that she doesn’t fear the water cannons and will not go back until the government repeals the three farm laws. Adding to this, Harinder Kaur said that they anticipated these difficulties when they were leaving from home. But they are determined to not let go of the fight. She also told us that several people have come forward to help the farmers in their journey. “When we left home, we felt that we will face many difficulties and that has actually happened. But as soon as we crossed Haryana, we received lots of love and help from our brothers in Haryana and then when we came here and camped in Delhi, people here helped us. At the Kundli border we received timely help from Khalsa aid and Bangla Sahib Langar and others helped,” Kaur said. These women told us that despite the difficulties, they will not go back until the government agrees to roll back the new farm laws. “Women are facing more difficulties than men. But this is an experience of a lifetime and when we return after our victory, we will tell women back home about our experiences and the fight we’ve fought,” Gurmeet added.  ",Farmers Protest,left,"Appeal to emotion/fear/prejudice,Bandwagon","T9: ['But a woman has bigger role to play']
T9: ['However, this fight is such that they had to come']
T9: ['Women are facing more difficulties than men. But this is an experience of a lifetime and when we return after our victory, we will tell women back home about our experiences and the fight we’ve fought']
T14: ['Thousands of farmers from Punjab, Haryana, and other parts of India are camping at the borders of Delhi to protest the new farm laws']
T14: ['She also told us that several people have come forward to help the farmers in their journey']","Vilification of the central government, Depicting Farmers as Victims"
367F,"500 enterprising farmers will be guided to harness potential of organic produce: J&K LG Jammu, Mar 7 (PTI) Jammu and Kashmir Lt Governor Manoj Sinha on Monday said his administration is giving a renewed thrust to organic farming to bring a paradigm shift in agrarian policy, rural prosperity and improving the income and quality of life of farmers. He said 500 enterprising farmers will be provided with handholding and knowledge-based intervention every year to harness the potential of organic produce in the Union territory. Sinha was speaking after inaugurating 'Kissan Mela' at Sher-e-Kashmir University of Agricultural Sciences and Technology (SKUAST) Jammu. He laid the foundation stone for the newly-sanctioned faculties of horticulture and forestry, agricultural engineering and dairy technology. “We are making efforts to increase productivity through infusion of traditional knowledge, modern science and technology, providing improved marketing facilities & resolving several other issues like power, irrigation, cheaper credit and rural infrastructure,” the Lt Governor said in a series of tweets. He said greater diversification into high-value crops, value addition through agro-processing and market-linkages are taking the agriculture and horticulture sector in Jammu and Kashmir to new heights and ensuring inclusive growth process. The improved air connectivity has given a new boost to the horticulture sector, he added. PTI TAS AB  SRY",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
200F,"79-year-old Gian Singh, a farmer from Chacheki village in Punjab's Gurdaspur district, died after a massive heart attack on Friday, 16 February. A member of the Kisan Mazdoor Sangharsh Committee, Singh was part of the'Dilli Chalo'agitation at the Punjab-Haryana Shambhu Border, where thousands offarmers are protestingto demand a law regarding Minimum Support Price (MSP) guarantee, debts waivers, and withdrawal of cases registered against them during the 2020-21 farmers’ agitation. Protesting farmers at the Shambhu Border said that Singh was first admitted to the civil hospital in Rajpura after he felt uneasy around 3 am. From there he was referred to Patiala's Rajendra Hospital.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
81F,"A 42 year-old man succumbed to burn injuries in Haryana's Jhajjar on Wednesday, 16 June, after four men purportedly doused him with inflammable chemicals. The four accused are reportedly part of the ongoing farmers' agitation at Tikri border near Delhi. The Haryana Police has registered a murder case against four men, of which one has been identified so far. The deceased, who has been identified as Mukesh, a resident of Kasra village of Jhajjar, the police told PTI. The Samyukt Kisan Morcha (SKM), however, has denied these claims, asserting that Mukesh died by suicide. The SKM, the umbrella organisation heading the farmers' agitation, said that the allegations levelled against the farmers' body were merely a ploy to defame the resistance movement. SKM leaders Darshan Pal and Balbir Singh Rajewal alleged that the deceased set himself ablaze and noticing this, the protest members had rushed to put out the fire and save the man's life. The farmers' body appealed to the public to not believe in the slanderous reports that have been advanced against its members. It also called upon the Haryana government to conduct a fair investigation of the incident. (With inputs from PTI)  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
93F,"A 55-year-old man from Punjab, who had joined the agitating farmers in solidarity, was burnt alive after the car he was sleeping in caught fire. Janak Raj was a resident of Dhanolua village in Barnala district and was a tractor mechanic. He had gone to Delhi to voluntarily fix tractors that were being used by farmers camping near Delhi, reportedNDTV. According to the report, after finishing his work late at night near Bahadurgarh (Delhi-Haryana border), Janak Raj went to sleep in the car; the vehicle caught fire and he was burnt alive, officials said. India Today reported that Krishna Singh Chhanna, leader of one of the farmer unions, said the government has to compensate for Janak Raj's death with Rs 20 lakh to his kin and a government job to his son. The report further quoted Chhanna saying until these demands are met, Janak's Raj last rites will not be performed. Thousands of farmers are camping in and around Delhi to protest against the three new laws aimed at bringing reforms in the agriculture sector. Recently, the agitating farmers had refused the Centre's offer to hold talks once they move to the Burari ground.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
197F,"A Delhi court on Tuesday, 16 February allowed 21-year-old Disha Ravi, who has been arrested over a toolkit in connection to the farmers’ protest, to access a copy of the FIR as well as the remand application which was opposed by Delhi Police. In a plea moved by Disha’s advocates, the Chief Metropolitan Magistrate Pankaj Sharmaalso allowed the environment activist to get warm clothes, masks, books, etc and make contact with her mother and family for 15 minutes every day, reported Bar and Bench. Ravi will be allowed to speak to her lawyer for 30 minutes on a daily basis. She is to be in police custody till 19 February. The Delhi Policeon Monday said that an “action plan” for 26 January was laid out in a toolkit, which was created by climate activists Shantanu, Disha Ravi, and Nikita Jacob in order to ‘spread misinformation and disaffection against the government’. Violence had erupted in parts of Delhi on 26 January during the farmers’ Republic Day tractor rally. The police has alleged that the toolkit sought to artificially amplify fake news and precipitate action on 26 January. The police’s version comes in contrast to Ravi’s claims she made in the court following her arrrest, that she was not a creator of the toolkit but only edited two lines in the document. While the police also issued non-bailable warrants against Jacob and Shantanu in the matter, it said that highly incriminating evidence was found in Ravi’s phone who was arrested from Bengaluru. (With inputs from Bar and Bench)  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
296F,"A book capturing the voice of peasants of the 'Champaran Satyagraha' through their statements was launched in Ahmedabad on Monday by Union Minister of State for Culture Arjun Ram Meghwal. A book capturing the voice of peasants of the 'Champaran Satyagraha' through their statements was launched in Ahmedabad on Monday by Union Minister of State for Culture Arjun Ram Meghwal. The 'Thumb Print-Champaran Indigo Peasants Speak to Gandhi, Volume-1' introduces testimonies of peasants and provides rich insights into the condition of the indigo peasants and the making of Gandhi's Champaran Satyagraha. It has been printed by the Ahmedabad-based Navajivan Press, with archival documents for the volume being provided by the National Archives of India. The minister also launched a handbook titled 'Repair and Preservation of Records', which provides solutions to problems of preservation and longevity, as well mobile app 'Abhilekh Patal' and its web portal covering advanced search for online access to 3.3 million pages of digitised records. Addressing the launch event, Meghwal said Champaran became the first laboratory of Mahatma Gandhi after his return from South Africa. It was at Champaran that Gandhi took up the task of cleanliness, he said, adding that the Mahatma tapped the body, mind, intellect and soul of farmers to bring them together to oppose indigo farming imposed by the British. ""National Archives of India and Navajivan Trust launched a book and an Abhilekh Patal mobile app. The book is important for those who are interested in archives, research fellows who are interested in history,"" he said. Tridip Suhrud, one of the editors of the book, said, if all eight volumes of the book are published, then this will become the biggest peasant archive document. ""It contains the story of torture of 7,000 farmers. Because I have been associated with historical writing, I know if we are able to establish these eight volumes, then this will become the biggest peasant archive document. The Navajivan Trust and National Archives are much more committed to publish it,"" Suhrud said. ""Nowhere else has the statement of 7,000 farmers on an issue appeared through their own testimony, neither in Europe, India, Latin America, nor Africa,"" he said, adding the volume could not have been possible but for an institution like the National Archives. ""Seven thousand documents entrusted to scholars with the hope that we will not misuse it, that we will be ethical about its uses, that's something National Archives has been doing for 125 years,"" he said. Chandan Sinha, National Archives Director General, said the institution has undertaken digitisation on a massive scale, and the portal Abhilekha Patal contains half of all catalogues so far. ""The National Archives has also undertaken digitisation of its documents, and 4.5 crore documents have been digitised so far out of 18 crore,"" he said. Shahid Amin and Megha Todi are two other editors of the volume. Image: Twitter/@arjunrammeghwal",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
445F,"A court in Maharashtra's Thane district has acquitted seven farmers from a tribal village in a case registered under the Scheduled Caste and Scheduled Tribe (Prevention of Atrocities) Act for attacking and injuring a villager. A court in Maharashtra's Thane district has acquitted seven farmers from a tribal village in a case registered under the Scheduled Caste and Scheduled Tribe (Prevention of Atrocities) Act for attacking and injuring a villager. Special judge (SC ST) Act AS Bhagwat in his recent order held that the prosecution had failed to prove the charges beyond reasonable doubts and hence the accused need to be acquitted. According to the prosecution, in July 2016, the accused persons armed with sticks attacked the victim, a member of Thakur community in Vasuri village of Khadakpada, and ransacked his hut and threw out his belongings. The judge in his order noted that the complainant who was restrained by the civil court's order was aggrieved and hence, he falsely implicated the accused persons. The evidence presented by the prosecution witnesses was vague, self-contradictory and there is no corroboration to the sole eye-witness complainant from any quarters, it said. The prosecution had failed to prove the case beyond reasonable doubts against the accused persons for offences punishable under relevant sections of the Indian Penal Code and the Scheduled Caste and Scheduled Tribe (Prevention of Atrocities) Act, 1989, the court held.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
396F,"A crocodile was found in a farmer's field in Nalgonda District, causing a stir. The villagers helped officials relocate it to a nearby water body. The animal encounters are increasing day by day. From bears getting inside the cities to leopards roaming freely in the hotels, according to reports, the extension of human habitat is becoming a main reason for these increasing encounters. In this series, a new case has been reported when a crocodile created a disturbance in a farmer’s field near a temple in Nalgonda District, Tripuraram Mandal. The farmer went to his field early in the morning, and he found a sawan crocodile roaming in it. After this, there was a long line of villagers waiting to take a look at the crocodile. After this, the villagers passed this information on to the forest department, and the officials reached there. The forest officials tied the crocodile with the help of the villagers in the tank with ropes. They put him in the vehicle and released him into the nearby water body.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
95F,"A farmer from Punjab protesting near the Delhi-Haryana border passed away on Thursday, 17 December, allegedly due to cold winter waves. The 37-year-old man was found dead at the site where thousands of farmers have been protesting for 22 days against the three contentious farm laws. The man was a father to three children aged 10, 12 and 14 years, reported NDTV. The reports of death emerged hours after a 65-year-old Sikh priest allegedly died by suicide near the protest site at Delhi-Haryana border. Baba Ram Singh, from a Gurdwara in Haryana, had strongly supported the protests and has left a note which states that he ""couldn't see the ordeals of farmers"" who are sitting on the outskirts of the national capital protesting against the recently passed farm laws. Farmers’ representatives have told NDTV that so far, more than 20 protesters have died. In solidarity with the martyrs, a Homage Day will be held on 20 December. Volunteers have been visiting the farmers, who have been protesting on the highways near Delhi, with blankets and heaters. ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
94F,"A farmer, who had been participating in the protest against the Centre's contentious agricultural laws, was found dead at the Kundli-Singhu border adjoining Delhi on Wednesday, 10 November. Forty-five-year-old Gurpreet Singh, who had hailed from Punjab's Fatehpur Saheb, had allegedly died by suicide after hanging himself to a neem tree by a rope. Singh had reportedly belonged to Bharatiya Kisan Union Ekta Sidhupur. ""1 person died by suicide after hanging himself from a tree near Sushant City, Sonepat this morning. Reason of death not known, but we've been told that he was mentally disturbed. Dead body brought to Civil Hospital,"" investigating officer at Kundli Police Station Pradeep Kumar was quoted as saying by news agency ANI. An inquest has been initiated into the matter by the police. Gurjinder Singh, district convener, Fathehgarh Sahib, BKU Ekta Sidhupur, told The Indian Express: “He (Gurpreet) had returned to the Singhu border site after visiting his village on Monday. In his conversation with farmers over the past two days, he had mentioned that he was upset regarding the impasse over repeal of farm laws and that despite farmers protesting for over a year, the government had not been listening to the demands of farmers.” Gurpreet Singh is survived by his wife and a 20-year-old son.   ",Farmers Protest,left,"Appeal to emotion/fear/prejudice,Smears","T9: ['he was upset regarding the impasse over repeal of farm laws and that despite farmers protesting for over a year, the government had not been listening to the demands']
T15: ['government had not been listening to the demands']","Vilification of the central government, Depicting Farmers as Victims"
